x_origem,y_origem,x_destino,y_destino,comprimento,id_tubo,tipo_origem,tipo_destino,material,dn,pressao
677765.07,7185770.8,677763.36,7185770.02,1.879,3229676,conexao,conexao,AC,8.0,17.0
677763.36,7185770.02,677764.27,7185767.79,2.409,3229676,conexao,conexao,AC,8.0,17.0
677764.27,7185767.79,677765.92,7185768.45,1.777,3229676,conexao,conexao,AC,8.0,17.0
677765.92,7185768.45,677767.8,7185762.97,5.793,3229676,conexao,conexao,AC,8.0,17.0
677767.8,7185762.97,677771.34,7185739.97,23.272,3229676,conexao,conexao,AC,8.0,17.0
677771.34,7185739.97,677774.55,7185729.74,10.731,3229676,conexao,conexao,AC,8.0,17.0
677774.55,7185729.74,677794.89,7185697.51,38.107,3229676,conexao,conexao,AC,8.0,17.0
677794.89,7185697.51,677804.23,7185679.37,20.399,3229676,conexao,conexao,AC,8.0,17.0
677804.23,7185679.37,677806.95,7185609.47,69.954,3229676,conexao,conexao,AC,8.0,17.0
677806.95,7185609.47,677810.97,7185585.81,24.003,3229676,conexao,conexao,AC,8.0,17.0
677810.97,7185585.81,677831.05,7185525.91,63.172,3229676,conexao,conexao,AC,8.0,17.0
677831.05,7185525.91,677847.37,7185492.38,37.293,3229676,conexao,conexao,AC,8.0,17.0
677847.37,7185492.38,677867.19,7185444.05,52.234,3229676,conexao,conexao,AC,8.0,17.0
677867.19,7185444.05,677877.65,7185408.05,37.494,3229676,conexao,conexao,AC,8.0,17.0
677877.65,7185408.05,677878.96,7185394.64,13.471,3229676,conexao,conexao,AC,8.0,17.0
677878.96,7185394.64,677876.98,7185380.3,14.472,3229676,conexao,conexao,AC,8.0,17.0
677876.98,7185380.3,677859.69,7185340.75,43.165,3229676,conexao,conexao,AC,8.0,17.0
677859.69,7185340.75,677856.58,7185325.22,15.838,3229676,conexao,conexao,AC,8.0,17.0
677856.58,7185325.22,677888.35,7185135.92,191.947,3229676,conexao,conexao,AC,8.0,17.0
677888.35,7185135.92,677763.94,7185116.2,125.963,3229676,conexao,conexao,AC,8.0,17.0
677763.94,7185116.2,677781.14,7184995.47,121.949,3229676,conexao,conexao,AC,8.0,17.0
677781.14,7184995.47,677782.66,7184974.8,20.734,3229676,conexao,conexao,AC,8.0,17.0
677782.66,7184974.8,677773.33,7184870.27,104.937,3229676,conexao,conexao,AC,8.0,17.0
677773.33,7184870.27,677762.13,7184870.25,11.2,3229676,conexao,conexao,AC,8.0,17.0
677762.13,7184870.25,677760.49,7184760.49,109.772,3229676,conexao,conexao,AC,8.0,17.0
677760.49,7184760.49,677754.77,7184754.79,8.075,3229676,conexao,conexao,AC,8.0,17.0
677754.77,7184754.79,677740.41,7184755.02,14.355,3229676,conexao,conexao,AC,8.0,17.0
677740.41,7184755.02,677715.72,7184760.66,25.329,3229676,conexao,conexao,AC,8.0,17.0
677715.72,7184760.66,677635.16,7184772.65,81.452,3229676,conexao,conexao,AC,8.0,17.0
677635.16,7184772.65,677598.6,7184661.24,117.255,3229676,conexao,conexao,AC,8.0,17.0
677598.6,7184661.24,677589.29,7184652.76,12.593,3229676,conexao,conexao,AC,8.0,17.0
677589.29,7184652.76,677566.14,7184593.95,63.202,3229676,conexao,conexao,AC,8.0,17.0
677566.14,7184593.95,677566.89,7184592.67,1.484,3229676,conexao,conexao,AC,8.0,17.0
677566.89,7184592.67,677548.29,7184542.81,53.216,3229676,conexao,conexao,AC,8.0,17.0
677548.29,7184542.81,677548.91,7184541.55,1.404,3229676,conexao,distribuicao,AC,8.0,17.0
671628.34,7186003.64,671552.03,7185971.0,82.998,3241392,distribuicao,distribuicao,PEAD,63.0,4.0
671862.91,7182350.27,671864.46,7182308.12,42.179,3631626,distribuicao,conexao,PEAD,63.0,4.0
671864.46,7182308.12,671868.88,7182280.19,28.28,3631626,conexao,conexao,PEAD,63.0,4.0
671868.88,7182280.19,671875.5,7182258.82,22.369,3631626,conexao,conexao,PEAD,63.0,4.0
671875.5,7182258.82,671887.84,7182230.75,30.663,3631626,conexao,distribuicao,PEAD,63.0,4.0
676013.95,7189157.95,676081.84,7189236.38,103.732,1845433,distribuicao,distribuicao,PEAD,63.0,4.0
679835.09,7181713.81,679799.14,7181705.04,37.004,3806310,distribuicao,conexao,PEAD,160.0,7.0
679799.14,7181705.04,679762.52,7181757.34,63.846,3806310,conexao,conexao,PEAD,160.0,7.0
679762.52,7181757.34,679713.19,7181728.49,57.147,3806310,conexao,conexao,PEAD,160.0,7.0
679713.19,7181728.49,679692.93,7181718.54,22.571,3806310,conexao,conexao,PEAD,160.0,7.0
679692.93,7181718.54,679661.93,7181706.32,33.322,3806310,conexao,distribuicao,PEAD,160.0,7.0
694878.36,7193547.27,694879.18,7193539.32,7.992,4258110,distribuicao,conexao,PEAD,160.0,7.0
694879.18,7193539.32,694875.13,7193446.41,92.997,4258110,conexao,conexao,PEAD,160.0,7.0
694875.13,7193446.41,694872.91,7193436.73,9.931,4258110,conexao,conexao,PEAD,160.0,7.0
694872.91,7193436.73,694847.69,7193368.04,73.174,4258110,conexao,conexao,PEAD,160.0,7.0
694847.69,7193368.04,695012.94,7193301.06,178.308,4258110,conexao,conexao,PEAD,160.0,7.0
695012.94,7193301.06,695023.11,7193294.28,12.223,4258110,conexao,conexao,PEAD,160.0,7.0
695023.11,7193294.28,694981.28,7193252.23,59.316,4258110,conexao,conexao,PEAD,160.0,7.0
694981.28,7193252.23,694872.01,7193158.43,144.006,4258110,conexao,conexao,PEAD,160.0,7.0
694872.01,7193158.43,694846.54,7193138.38,32.415,4258110,conexao,conexao,PEAD,160.0,7.0
694846.54,7193138.38,694835.8,7193125.44,16.825,4258110,conexao,conexao,PEAD,160.0,7.0
